[CPU-CHECK][LAMMPS] host=sg023 pid=1881184 cpus=0-7
LAMMPS (30 Mar 2026)
KOKKOS mode with Kokkos version 5.1.99 is enabled
  using double precision
  using view layout = legacy
  will use up to 1 GPU(s) per node
Kokkos::OpenMP::initialize WARNING: OMP_PROC_BIND environment variable not set
  In general, for best performance with OpenMP 4.0 or better set OMP_PROC_BIND=spread and OMP_PLACES=threads
  For best performance with OpenMP 3.1 set OMP_PROC_BIND=true
  For unit testing set OMP_PROC_BIND=false

MPI detected: For OpenMP binding to work as intended, MPI ranks must be bound to exclusive CPU sets.

  using 8 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (-16.796 -16.796 -16.796) to (16.796 16.796 16.796)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  32000 atoms
  reading velocities ...
  32000 velocities
  scanning bonds ...
  1 = max bonds/atom
  orthogonal box = (-16.796 -16.796 -16.796) to (16.796 16.796 16.796)
  1 by 1 by 1 MPI processor grid
  reading bonds ...
  31680 bonds
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        1        1       
  special bond factors coul:  0        1        1       
     2 = max # of 1-2 neighbors
     2 = max # of special neighbors
  special bonds CPU = 0.028 seconds
  read_data CPU = 1.324 seconds

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Your simulation uses code contributions which should be cited:
- KOKKOS package: https://doi.org/10.1145/3731599.3767498
The log file lists these citations in BibTeX format.

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
WARNING: Communication cutoff 1.52 is shorter than a bond length based estimate of 1.855. This may lead to errors. (src/comm.cpp:694)
Neighbor list info ...
  update: every = 1 steps, delay = 1 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 1.52
  ghost atom cutoff = 1.52
  binsize = 1.52, bins = 23 23 23
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut/kk, perpetual
      attributes: half, newton on, kokkos_device
      pair build: half/bin/newton/kk/device
      stencil: half/bin/3d
      bin: kk/device
Setting up Verlet run ...
  Unit style    : lj
  Current step  : 0
  Time step     : 0.012
WARNING: Communication cutoff 1.52 is shorter than a bond length based estimate of 1.855. This may lead to errors. (src/comm.cpp:694)
Per MPI rank memory allocation (min/avg/max) = 21.68 | 21.68 | 21.68 Mbytes
   Step          Temp          E_pair         E_mol          TotEng         Press     
         0   0.97029772     0.44484087     20.494523      22.394765      4.6721833    
       500   0.97451954     0.44712101     20.512828      22.421683      4.7305913    
      1000   0.99430463     0.44263717     20.504939      22.438986      4.6401543    
      1500   1.0000786      0.44243079     20.517878      22.46038       4.7000963    
      2000   1.0012732      0.45327755     20.512007      22.467148      4.7536708    
      2500   0.99779147     0.44487168     20.519896      22.461408      4.8511188    
      3000   0.99899438     0.45328056     20.514461      22.466186      4.7846466    
      3500   1.0020494      0.45632029     20.516221      22.475569      4.828644     
      4000   1.0053331      0.45158036     20.50961       22.469142      4.7759873    
      4500   0.99576741     0.45637721     20.510449      22.460431      4.8569586    
      5000   1.0012266      0.45597407     20.516808      22.474575      4.7875945    
      5500   0.99923255     0.44974691     20.511338      22.459886      4.7370005    
      6000   1.0054423      0.45138099     20.507665      22.467163      4.7327472    
      6500   0.99191532     0.45650036     20.513507      22.457834      4.8617365    
      7000   0.99731278     0.45269378     20.514974      22.46359       4.7319167    
      7500   0.99593823     0.45447582     20.509952      22.458289      4.8169753    
      8000   1.0062244      0.4509687      20.509184      22.469442      4.784294     
      8500   1.0055858      0.45258887     20.507374      22.468294      4.8674316    
      9000   0.99855009     0.44930432     20.515529      22.462612      4.6743483    
      9500   0.99315321     0.45809254     20.513944      22.46172       4.7458031    
     10000   0.99301874     0.45737466     20.511833      22.458689      4.8168314    
     10500   0.99544589     0.44801532     20.514764      22.455901      4.8288689    
     11000   0.99917014     0.45508466     20.518424      22.472217      4.8742022    
     11500   1.0002448      0.45982986     20.517182      22.477332      4.9088079    
     12000   1.0021361      0.44826309     20.514553      22.465973      4.8441859    
     12500   0.99845707     0.45729979     20.504603      22.459542      4.7054434    
     13000   0.99505245     0.44956543     20.514795      22.456893      4.7635369    
     13500   0.99858378     0.44941568     20.517183      22.464427      4.7531653    
     14000   1.0086667      0.45158111     20.516006      22.480539      4.6932604    
     14500   1.0096169      0.45482952     20.515156      22.484364      4.7225747    
     15000   1.0062669      0.44938086     20.519319      22.478053      4.7783005    
     15500   0.99904101     0.45490684     20.522464      22.475885      4.7582057    
     16000   0.99475133     0.4533057      20.520154      22.46554       4.8093172    
     16500   0.99717718     0.45260419     20.514283      22.462607      4.8201051    
     17000   0.99665614     0.45733642     20.519394      22.471668      4.793686     
     17500   1.0063753      0.45227793     20.514804      22.476597      4.8207364    
     18000   0.99978274     0.45499578     20.51961       22.474233      4.789265     
     18500   1.0044284      0.45825369     20.520251      22.485101      4.8384614    
